window_size,Machining_Process,num_windows,k,silhouette_score,davies_bouldin_score,calinski_harabasz_score,cluster_sizes
20,Layer 2 Down,213,6,0.32438297353333007,1.2380971809861872,37.727117594212864,"{np.int32(0): np.int64(9), np.int32(1): np.int64(129), np.int32(2): np.int64(8), np.int32(3): np.int64(4), np.int32(4): np.int64(56), np.int32(5): np.int64(7)}"
20,Layer 2 Down,213,7,0.324324680801664,1.1872949501677301,43.96363395035574,"{np.int32(0): np.int64(8), np.int32(1): np.int64(126), np.int32(2): np.int64(8), np.int32(3): np.int64(4), np.int32(4): np.int64(44), np.int32(5): np.int64(7), np.int32(6): np.int64(16)}"
20,Layer 2 Down,213,8,0.31196595418555373,1.2813657019400733,40.73174868172898,"{np.int32(0): np.int64(8), np.int32(1): np.int64(126), np.int32(2): np.int64(4), np.int32(3): np.int64(7), np.int32(4): np.int64(7), np.int32(5): np.int64(14), np.int32(6): np.int64(38), np.int32(7): np.int64(9)}"
20,Layer 2 Down,213,9,0.3174817361186386,1.3050341233390923,39.38544724251908,"{np.int32(0): np.int64(8), np.int32(1): np.int64(117), np.int32(2): np.int64(4), np.int32(3): np.int64(7), np.int32(4): np.int64(7), np.int32(5): np.int64(14), np.int32(6): np.int64(37), np.int32(7): np.int64(9), np.int32(8): np.int64(10)}"
20,Layer 2 Up,273,2,0.41630919919776965,1.7645195898324306,53.76100796406015,"{np.int32(0): np.int64(230), np.int32(1): np.int64(43)}"
20,Layer 2 Up,273,3,0.434404089931443,1.295422501673312,64.05886654636444,"{np.int32(0): np.int64(228), np.int32(1): np.int64(43), np.int32(2): np.int64(2)}"
20,Layer 2 Up,273,4,0.32063897156162524,1.2606192760052641,70.19482639062568,"{np.int32(0): np.int64(170), np.int32(1): np.int64(38), np.int32(2): np.int64(2), np.int32(3): np.int64(63)}"
20,Layer 2 Up,273,5,0.12524210812972172,1.6326803878591278,57.12842267941695,"{np.int32(0): np.int64(86), np.int32(1): np.int64(38), np.int32(2): np.int64(2), np.int32(3): np.int64(62), np.int32(4): np.int64(85)}"
20,Layer 2 Up,273,6,0.1449093761069496,1.582900078387124,60.0255940124128,"{np.int32(0): np.int64(83), np.int32(1): np.int64(16), np.int32(2): np.int64(2), np.int32(3): np.int64(59), np.int32(4): np.int64(84), np.int32(5): np.int64(29)}"
20,Layer 2 Up,273,7,0.13589290717080865,1.5871081655316421,54.909363773949075,"{np.int32(0): np.int64(71), np.int32(1): np.int64(16), np.int32(2): np.int64(2), np.int32(3): np.int64(59), np.int32(4): np.int64(84), np.int32(5): np.int64(19), np.int32(6): np.int64(22)}"
20,Layer 2 Up,273,8,0.3301153436934502,1.4229582945563657,54.96699955754853,"{np.int32(0): np.int64(152), np.int32(1): np.int64(2), np.int32(2): np.int64(13), np.int32(3): np.int64(51), np.int32(4): np.int64(24), np.int32(5): np.int64(8), np.int32(6): np.int64(15), np.int32(7): np.int64(8)}"
20,Layer 2 Up,273,9,0.16995492479825164,1.6332908117768996,51.91854414066197,"{np.int32(0): np.int64(79), np.int32(1): np.int64(2), np.int32(2): np.int64(10), np.int32(3): np.int64(51), np.int32(4): np.int64(18), np.int32(5): np.int64(9), np.int32(6): np.int64(13), np.int32(7): np.int64(8), np.int32(8): np.int64(83)}"
20,Layer 3 Down,201,2,0.4711084003406778,1.5541682536338244,37.59324551702909,"{np.int32(0): np.int64(17), np.int32(1): np.int64(184)}"
20,Layer 3 Down,201,3,0.3182436201985271,1.7556705821149077,24.41573678323535,"{np.int32(0): np.int64(4), np.int32(1): np.int64(169), np.int32(2): np.int64(28)}"
20,Layer 3 Down,201,4,0.33628845289167647,1.6195039412503818,26.458999398419166,"{np.int32(0): np.int64(4), np.int32(1): np.int64(167), np.int32(2): np.int64(22), np.int32(3): np.int64(8)}"
20,Layer 3 Down,201,5,0.35353348090181885,1.5164001663529376,31.431360424717354,"{np.int32(0): np.int64(4), np.int32(1): np.int64(139), np.int32(2): np.int64(13), np.int32(3): np.int64(8), np.int32(4): np.int64(37)}"
20,Layer 3 Down,201,6,0.35495525600424865,1.5080686642645933,27.473020594015452,"{np.int32(0): np.int64(4), np.int32(1): np.int64(139), np.int32(2): np.int64(12), np.int32(3): np.int64(4), np.int32(4): np.int64(37), np.int32(5): np.int64(5)}"
20,Layer 3 Down,201,7,0.32706761360483655,1.3903606142962739,30.97726848283306,"{np.int32(0): np.int64(4), np.int32(1): np.int64(131), np.int32(2): np.int64(11), np.int32(3): np.int64(4), np.int32(4): np.int64(38), np.int32(5): np.int64(5), np.int32(6): np.int64(8)}"
20,Layer 3 Down,201,8,0.3074814582040536,1.4002461313050407,30.52667823170241,"{np.int32(0): np.int64(4), np.int32(1): np.int64(122), np.int32(2): np.int64(32), np.int32(3): np.int64(6), np.int32(4): np.int64(5), np.int32(5): np.int64(8), np.int32(6): np.int64(16), np.int32(7): np.int64(8)}"
20,Layer 3 Down,201,9,0.3123330782106176,1.3445340759178843,29.59610530221175,"{np.int32(0): np.int64(4), np.int32(1): np.int64(120), np.int32(2): np.int64(31), np.int32(3): np.int64(6), np.int32(4): np.int64(5), np.int32(5): np.int64(8), np.int32(6): np.int64(15), np.int32(7): np.int64(7), np.int32(8): np.int64(5)}"
20,Layer 3 Up,239,2,0.23959903042374814,1.9704235898802958,43.51324117591731,"{np.int32(0): np.int64(145), np.int32(1): np.int64(94)}"
20,Layer 3 Up,239,3,0.24801301798878525,1.7665653934464476,34.711310661859265,"{np.int32(0): np.int64(143), np.int32(1): np.int64(80), np.int32(2): np.int64(16)}"
20,Layer 3 Up,239,4,0.2815362465113485,1.4946375748015934,49.39324057196897,"{np.int32(0): np.int64(126), np.int32(1): np.int64(76), np.int32(2): np.int64(16), np.int32(3): np.int64(21)}"
20,Layer 3 Up,239,5,0.2881532187714363,1.5292334937664662,43.86424724508367,"{np.int32(0): np.int64(123), np.int32(1): np.int64(76), np.int32(2): np.int64(14), np.int32(3): np.int64(17), np.int32(4): np.int64(9)}"
20,Layer 3 Up,239,6,0.29323404597183567,1.6672680057866023,38.52102528712997,"{np.int32(0): np.int64(123), np.int32(1): np.int64(74), np.int32(2): np.int64(14), np.int32(3): np.int64(10), np.int32(4): np.int64(9), np.int32(5): np.int64(9)}"
20,Layer 3 Up,239,7,0.3019872980895732,1.4559027046002373,40.73550195527765,"{np.int32(0): np.int64(123), np.int32(1): np.int64(68), np.int32(2): np.int64(14), np.int32(3): np.int64(7), np.int32(4): np.int64(9), np.int32(5): np.int64(7), np.int32(6): np.int64(11)}"
20,Layer 3 Up,239,8,0.3067640746047016,1.3251760740850806,36.938644349529625,"{np.int32(0): np.int64(127), np.int32(1): np.int64(70), np.int32(2): np.int64(16), np.int32(3): np.int64(2), np.int32(4): np.int64(4), np.int32(5): np.int64(8), np.int32(6): np.int64(5), np.int32(7): np.int64(7)}"
