window_size,Machining_Process,num_windows,som_x,som_y,num_neurons,silhouette_score,davies_bouldin_score,calinski_harabasz_score,cluster_sizes
10,Layer 1 Down,461,2,1,2,0.4443490198503562,1.782739742250369,103.90655418565511,"{np.int64(0): np.int64(390), np.int64(1): np.int64(71)}"
10,Layer 1 Down,461,3,1,3,0.3167291058026628,1.6161967332627378,98.1309966599532,"{np.int64(0): np.int64(82), np.int64(1): np.int64(315), np.int64(2): np.int64(64)}"
10,Layer 1 Down,461,4,1,4,0.3399590988205968,1.726416436777072,85.63120938894063,"{np.int64(0): np.int64(18), np.int64(1): np.int64(54), np.int64(2): np.int64(332), np.int64(3): np.int64(57)}"
10,Layer 1 Down,461,2,2,4,0.3427536403301918,2.0010668249653185,77.86135701560208,"{np.int64(0): np.int64(35), np.int64(1): np.int64(44), np.int64(2): np.int64(325), np.int64(3): np.int64(57)}"
10,Layer 1 Up,675,2,1,2,0.42468644564392116,1.7635581088111072,139.52228077151148,"{np.int64(0): np.int64(579), np.int64(1): np.int64(96)}"
10,Layer 1 Up,675,3,1,3,0.26057155041030994,1.6734544526896047,117.60424168714145,"{np.int64(0): np.int64(76), np.int64(1): np.int64(462), np.int64(2): np.int64(137)}"
10,Layer 1 Up,675,4,1,4,0.28081143252972923,1.8838072311372716,107.54035305392054,"{np.int64(0): np.int64(127), np.int64(1): np.int64(53), np.int64(2): np.int64(428), np.int64(3): np.int64(67)}"
10,Layer 1 Up,675,2,2,4,0.27984224840203736,1.8905687716633208,108.20707250515879,"{np.int64(0): np.int64(51), np.int64(1): np.int64(65), np.int64(2): np.int64(138), np.int64(3): np.int64(421)}"
10,Layer 2 Down,448,2,1,2,0.4820731121970856,1.7761442497782094,83.48373121661479,"{np.int64(0): np.int64(47), np.int64(1): np.int64(401)}"
10,Layer 2 Down,448,3,1,3,0.3155869576959599,1.5304878884200566,83.87907575536944,"{np.int64(0): np.int64(343), np.int64(1): np.int64(69), np.int64(2): np.int64(36)}"
10,Layer 2 Down,448,4,1,4,0.3170642568198229,1.7476164808488541,75.4597293702104,"{np.int64(0): np.int64(44), np.int64(1): np.int64(78), np.int64(2): np.int64(298), np.int64(3): np.int64(28)}"
10,Layer 2 Down,448,2,2,4,0.3353291176327926,1.677035991981179,86.85526689312606,"{np.int64(0): np.int64(88), np.int64(1): np.int64(22), np.int64(2): np.int64(305), np.int64(3): np.int64(33)}"
10,Layer 2 Up,567,2,1,2,0.40819507863546256,2.338463027686382,74.87468179866163,"{np.int64(0): np.int64(465), np.int64(1): np.int64(102)}"
10,Layer 2 Up,567,3,1,3,0.42088011233752187,1.7259760181002595,71.3225357822165,"{np.int64(0): np.int64(17), np.int64(1): np.int64(485), np.int64(2): np.int64(65)}"
10,Layer 2 Up,567,4,1,4,0.32600662930884483,1.3337631374617382,123.64947697600192,"{np.int64(0): np.int64(388), np.int64(1): np.int64(110), np.int64(2): np.int64(67), np.int64(3): np.int64(2)}"
10,Layer 2 Up,567,2,2,4,0.3430951601114412,2.0259859036457866,79.59596198200224,"{np.int64(0): np.int64(382), np.int64(1): np.int64(27), np.int64(2): np.int64(106), np.int64(3): np.int64(52)}"
10,Layer 3 Down,424,2,1,2,0.4561181880230067,2.0907710112094873,71.37101531296233,"{np.int64(0): np.int64(363), np.int64(1): np.int64(61)}"
10,Layer 3 Down,424,3,1,3,0.3857355549650294,1.7488460043886722,72.35697716535533,"{np.int64(0): np.int64(35), np.int64(1): np.int64(336), np.int64(2): np.int64(53)}"
10,Layer 3 Down,424,4,1,4,0.3619634378862668,1.8435326150476508,68.79027378650962,"{np.int64(0): np.int64(34), np.int64(1): np.int64(309), np.int64(2): np.int64(61), np.int64(3): np.int64(20)}"
10,Layer 3 Down,424,2,2,4,0.3613266399213337,1.855204515747998,68.60965132104026,"{np.int64(0): np.int64(20), np.int64(1): np.int64(60), np.int64(2): np.int64(35), np.int64(3): np.int64(309)}"
10,Layer 3 Up,497,2,1,2,0.4911875045713303,1.9337764108771507,87.66435261279048,"{np.int64(0): np.int64(55), np.int64(1): np.int64(442)}"
10,Layer 3 Up,497,3,1,3,0.3153905595090854,1.6929634627329708,99.0840168859031,"{np.int64(0): np.int64(47), np.int64(1): np.int64(329), np.int64(2): np.int64(121)}"
10,Layer 3 Up,497,4,1,4,0.34604016103216273,1.7270215705129022,83.09542734379465,"{np.int64(0): np.int64(20), np.int64(1): np.int64(90), np.int64(2): np.int64(31), np.int64(3): np.int64(356)}"
10,Layer 3 Up,497,2,2,4,0.32638174899923733,1.839572571555217,77.56149897095415,"{np.int64(0): np.int64(24), np.int64(1): np.int64(26), np.int64(2): np.int64(93), np.int64(3): np.int64(354)}"
